panel-przyd,widz,wiek1,prez2-przyd,panel-future,znajomosc,meetup,freq2,prez1-przyd,druk,temat,freq1,sex,prez2-przyst,prez1-przyst,wiek2,skad,cel,ang,panel-przyst
,"Tak, na żywo",18-30,5,,,002,,5,,,,Kobieta,5,5,,na facebooku,,,
,"Tak, na żywo",18-30,5,,,002,,2,,,,Mężczyzna,5,5,,na facebooku,,,
,"Tak, na żywo",31-40,2,,,002,,2,,,,Mężczyzna,5,5,,od kogoś z teamu PyLight,,,
,"Tak, na żywo",18-30,5,,,002,,5,,,,Mężczyzna,4,5,,na spotkaniu PyWaw,,,
,"Tak, na żywo",31-40,5,,,002,,2,,,,Mężczyzna,4,4,,od znajomego,,,
,"Tak, na żywo",31-40,3,,,002,,3,,,,Kobieta,3,4,,od znajomego,,,
,"Tak, na żywo",18-30,2,,,002,,4,,,,Mężczyzna,2,4,,na facebooku,,,
,"Tak, na żywo",31-40,3,,,002,,4,,,,Kobieta,3,4,,na facebooku,,,
,"Tak, na żywo",18-30,3,,,002,,3,,,,Kobieta,1,4,,od znajomego,,,
,"Tak, na żywo",18-30,4,,,002,,5,,,,Kobieta,3,3,,na facebooku,,,
,"Tak, na żywo",18-30,5,,,002,,4,,,,Mężczyzna,3,5,,od znajomego,,,
,"Tak, na żywo",18-30,2,,,002,,5,,,,Kobieta,3,5,,od znajomego,,,
,"Tak, na żywo",18-30,4,,,002,,3,,,,Mężczyzna,4,4,,na facebooku,,,
,"Tak, na żywo",31-40,4,,,002,,4,,,,Kobieta,4,5,,"FB, znajoma, z warsztatów DJango Girls",,,
,"Tak, na żywo",18-30,4,,,002,,2,,,,Kobieta,3,2,,od Django Girls,,,
,"Nie, ale lubię ankiety",31-40,,,,002,,,,,,Mężczyzna,,,,na facebooku,,,
,"Tak, na żywo",18-30,4,,,002,,4,,,,Kobieta,4,4,,na facebooku,,,
,"Tak, na żywo",31-40,2,,,002,,4,,,,Mężczyzna,1,4,,na facebooku,,,
,"Tak, na żywo",,5,,,003,,3,"Fajne, róbcie tak dalej","Wykorzystywanie Pythona w praktyce. Co się zwykle pisze, przy pomocy jakich narzędzi, frameworków. Ogólnego zarys technologii, które warto znać wraz z Pythonem.  ",,Mężczyzna,5,3,25-30,na facebooku,,,
,"Tak, na żywo",,4,,,004,,1,"Zbędne, notatki z githuba mi wystarczą",Framework Scrapy,,Mężczyzna,5,5,25-30,od znajomego,,,
,"Tak, na żywo",,3,,,004,,5,"Fajne, róbcie tak dalej",Przygotowanie środowiska do nauki dla różnych OS,,Mężczyzna,5,4,25-30,"nie pamiętam gdzie, ale gdzieś w internecie",,,
,"Tak, na żywo",,5,,,004,,5,"Fajne, róbcie tak dalej",czytanie kodu,,Kobieta,5,4,25-30,na DjangoGirls,,,
,"Tak, na żywo",,4,,,004,,3,"Zbędne, notatki z githuba mi wystarczą",Indeksy w bazach danych,,Mężczyzna,5,4,31-40,od kogoś z teamu PyLight,,,
,"Tak, na żywo",,4,,,004,,5,"Zbędne, notatki z githuba mi wystarczą",,,Kobieta,5,5,31-40,na facebooku,,,
,"Tak, na żywo",,3,,,004,,3,"Zbędne, notatki z githuba mi wystarczą",,,Mężczyzna,5,4,18-24,Na python4beginners,,,
,"Tak, na żywo",,3,,,004,,3,"Zbędne, notatki z githuba mi wystarczą",,,Mężczyzna,5,4,18-24,na facebooku,,,
,"Tak, na żywo",,3,,,004,,2,"Zbędne, nie chcę notatek po prezentacji",dekoratory,,Mężczyzna,5,3,31-40,od znajomego,,,
,"Tak, na żywo",,3,,,004,,4,"Zbędne, nie chcę notatek po prezentacji","Pandas, Machine Learning, Tricki w Pythonie, Dziedziczenie?",,Mężczyzna,5,2,18-24,na facebooku,,,
,"Tak, na żywo",,5,,,004,,3,"Zbędne, notatki z githuba mi wystarczą",Framework Django podstawy,,Mężczyzna,5,5,31-40,na facebooku,,,
,"Tak, na żywo",,5,,,004,,3,"Zbędne, notatki z githuba mi wystarczą",,,Kobieta,5,4,18-24,na facebooku,,,
,"Tak, na żywo",,4,,,004,,5,"Fajne, róbcie tak dalej",,,Mężczyzna,4,3,18-24,na facebooku,,,
,"Tak, na żywo",,3,,,004,,3,"Zbędne, nie chcę notatek po prezentacji",,,Mężczyzna,5,5,25-30,na spotkaniu PyWaw,,,
,"Nie, ale lubię ankiety",,,,,004,,,,,,Mężczyzna,,,25-30,na facebooku,,,
,"Tak, na żywo",,3,,,004,,3,"Zbędne, notatki z githuba mi wystarczą",,,Mężczyzna,5,5,18-24,od znajomego,,,
,"Tak, na żywo",,3,,,004,,4,"Zbędne, notatki z githuba mi wystarczą",Python junior developer - co powinien wiedzieć  ,,Mężczyzna,5,5,25-30,na spotkaniu PyWaw,,,
,"Tak, na żywo",,3,,,004,,4,"Zbędne, notatki z githuba mi wystarczą",Python junior developer - co powinien wiedzieć  ,,Mężczyzna,5,5,25-30,na spotkaniu PyWaw,,,
,"Tak, na żywo",,5,,,004,,5,"Zbędne, notatki z githuba mi wystarczą",,,Kobieta,5,5,31-40,na facebooku,,,
,"Tak, na żywo",,3,,,004,,4,"Zbędne, notatki z githuba mi wystarczą","Np. przegląd ciekawych pakietów wartych polecenia. Przegląd użyteczności jakiegoś pakietu do analizy danych, np. numpy. ",,Kobieta,5,4,31-40,na kursie Python4Beginners,,,
